rank,id,minplayers,maxplayers,maxplaytime,average_rating,age,total_owners,total_weights,mechanic_count,category_count,designer_count,name_clean,category_clean_Adventure,category_clean_Educational,category_clean_Era,category_clean_Expansion for Base-game,category_clean_Other,category_clean_Strategy,category_clean_Wargame,mechanic_clean_Co-op,mechanic_clean_Dice_Rolling,mechanic_clean_Movement,mechanic_clean_Other,mechanic_clean_PVP,mechanic_clean_Role_Playing,category_clean,mechanic_clean
2423,41003,2,4,15,6.44937,7,1588,1.2784,2,2,1,Keltis Der Weg der Steine Mitbringspiel,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
2424,149787,1,6,180,7.80327,10,874,3.7778,6,4,4,Perditions Mouth Abyssal Rift,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
2425,146735,3,6,90,6.53562,10,3860,1.9048,4,5,2,Munchkin Adventure Time,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
2426,1372,2,8,20,7.05323,12,928,2.1452,1,4,3,Rise of the Luftwaffe,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
2427,184346,2,6,20,6.66946,8,1991,1.05,2,3,1,Go Nuts for Donuts,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2428,179933,2,2,45,7.27573,10,896,2.0526,2,2,1,Agility,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2429,234948,2,4,120,7.59631,12,926,3.8889,5,3,1,Prehistory,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
2430,67600,1,1,420,8.24282,0,1148,3.5,2,2,1,DDay at Tarawa,0,0,0,0,0,0,1,0,0,0,0,1,0,Wargame,PVP
2431,550,3,4,60,6.37837,12,2234,1.5547,2,5,1,Barbarossa,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
2432,193840,2,8,60,6.50098,10,1796,2.3125,4,3,3,The Dragon  Flagon,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
2433,150146,2,4,30,6.56449,14,1507,1.549,4,1,1,Rattlebones,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2434,80642,3,4,60,6.9513,10,555,2.6667,5,3,2,Antics,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2435,141,3,5,60,6.39483,10,1745,2.2266,3,3,1,Andromeda,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
2436,204837,3,5,60,6.89505,18,1282,2.5556,3,3,4,Game of Thrones The Iron Throne,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2437,1338,2,6,90,6.86029,12,676,2.8868,3,1,1,Volldampf,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2438,189848,3,6,120,7.02404,10,2311,2.0,4,3,1,Munchkin Marvel,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
2439,1036,3,6,45,6.71785,10,1019,2.0,5,1,1,Speculation,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2440,3452,2,5,45,6.36774,10,1551,1.6788,3,3,1,Emerald,1,0,0,0,0,0,0,0,1,0,0,0,0,Adventure,Dice_Rolling
2441,943,2,4,10,6.20284,8,4909,1.1992,1,2,1,Ligretto,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2442,186721,1,5,90,7.27133,13,871,2.9,4,2,2,Healthy Heart Hospital,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2443,245045,1,6,90,7.14193,12,1130,1.6,3,3,2,Deckscape Heist in Venice,0,0,0,0,1,0,0,1,0,0,0,0,0,Other,Co-op
2444,75547,2,5,60,6.50119,10,2513,2.3208,4,2,1,Shipwrights of the North Sea,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
2445,125050,2,5,90,6.81838,13,1094,2.5652,3,2,1,Pay Dirt,0,1,0,0,0,0,0,0,0,0,1,0,0,Educational,Other
2446,180231,1,4,30,6.589,10,1502,1.8182,2,1,1,OctoDice,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
2447,192547,2,5,15,6.82116,4,1094,1.0,1,3,2,Go Cuckoo,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
2448,96613,3,4,60,6.36797,15,1750,2.3494,9,3,3,Alcatraz The Scapegoat,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2449,63632,2,4,90,6.74953,12,1048,2.9306,4,1,1,Jerusalem,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
2450,64826,3,4,120,6.75555,13,1830,2.661,3,3,1,Moongha Invaders Mad Scientists and Atomic Monsters Attack the Earth,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
2451,5684,2,6,300,7.59215,14,352,4.2778,4,5,1,EU,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2452,4212,2,2,180,7.61945,12,974,3.3617,2,2,1,Here Come the Rebels,0,0,0,0,0,0,1,0,1,0,0,0,0,Wargame,Dice_Rolling
2453,131449,3,5,150,7.14883,13,1109,3.7955,2,2,1,Captains of Industry,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
2454,200171,2,5,60,7.09419,14,1456,1.7778,3,2,1,Legendary Big Trouble in Little China,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2455,125993,2,2,240,7.72217,12,895,2.8974,1,2,1,France ,0,0,0,0,0,0,1,0,0,0,0,1,0,Wargame,PVP
2456,293,2,7,30,6.37781,6,1293,1.2088,1,2,1,Bamboleo,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
2457,782,3,6,120,6.69602,8,1633,2.087,3,3,2,Win Place  Show,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
2458,137155,2,5,40,6.68238,10,948,1.4386,1,1,2,Potato Man,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
